Country,Region_Province,Institution,Program,Duration_months,Field_relevance,Intl_tuition_CAD_verified,Budget_tier,Poststudy_work_months,Poststudy_pathway_name,Verified_source_URL,Notes
Canada,NS,Saint Mary's University,MA Women & Gender Studies (1-year band),12,Business,19929,Yes,36,PGWP,https://www.smu.ca/academics/graduate-tuition-fees.html,2025/26 Grad Program Fee Schedule PDF
Canada,ON,Carleton University,Master of Cognitive Science,16,Business,20256,Borderline,36,PGWP,https://carleton.ca/studentaccounts/tuition-fees/fw-gr/f25w26-gr-international/,"Verified Fall+Winter year-1=$20,256.00; est. full 16mo program≈$20,256 if multi-year registration"
Canada,NS,Dalhousie University,MA Economics (without thesis),12,Economics,20323.86,Yes,36,PGWP,https://www.dal.ca/faculty/gradstudies/finance-your-studies/tuition-fees.html,"MMgmt uses published intl programme TOTAL; others: domestic 3-term TOTAL + intl surcharge, scaled ×4/3 if 16 mo"
Canada,NS,Dalhousie University,Master of Development Economics (without thesis),12,Economics,20323.86,Yes,36,PGWP,https://www.dal.ca/faculty/gradstudies/finance-your-studies/tuition-fees.html,"MMgmt uses published intl programme TOTAL; others: domestic 3-term TOTAL + intl surcharge, scaled ×4/3 if 16 mo"
Canada,ON,Carleton University,Master of Architectural Studies,16,Business,21332,Borderline,36,PGWP,https://carleton.ca/studentaccounts/tuition-fees/fw-gr/f25w26-gr-international/,"Verified Fall+Winter year-1=$21,332.00; est. full 16mo program≈$21,332 if multi-year registration"
Canada,ON,Carleton University,Master of Design,16,Business,21332,Borderline,36,PGWP,https://carleton.ca/studentaccounts/tuition-fees/fw-gr/f25w26-gr-international/,"Verified Fall+Winter year-1=$21,332.00; est. full 16mo program≈$21,332 if multi-year registration"
Canada,NS,Saint Mary's University,International Master of Teaching English (IMTE),16,Business,21369,Yes,36,PGWP,https://www.smu.ca/academics/graduate-tuition-fees.html,2025/26 Grad Program Fee Schedule PDF; 16-mo billed over 4 terms—table shows 3-term total; 4th term = ~1/3 of next year's tuition extra
Canada,ON,Carleton University,Master of Applied Science (MASc),16,Business,21851,Borderline,36,PGWP,https://carleton.ca/studentaccounts/tuition-fees/fw-gr/f25w26-gr-international/,"Verified Fall+Winter year-1=$21,851.00; est. full 16mo program≈$21,851 if multi-year registration"
Canada,ON,Wilfrid Laurier University,MSc in Management,12,Management,23583,Yes,36,PGWP,https://www.wlu.ca/programs/business-and-economics/graduate/management-msc/index.html,"2026/27 intl total $23,583; BBA-friendly research MSc"
Canada,BC,VIU,MEd Educational Leadership,16,Business,24142,Yes,36,PGWP,https://www.viu.ca/programs/education/master-education-educational-leadership,"Intl program total $24,142.46 (30 credits); full-time campus option ~2 years"
Canada,BC,VIU,MEd Special Education,16,Business,24142,Yes,36,PGWP,https://www.viu.ca/programs/education/master-education-educational-leadership,"Intl program total $24,142.46 (30 credits); full-time campus option ~2 years"
Canada,ON,Carleton University,Master of Journalism,16,Business,24427,Borderline,36,PGWP,https://carleton.ca/studentaccounts/tuition-fees/fw-gr/f25w26-gr-international/,"Verified Fall+Winter year-1=$24,427.00; est. full 16mo program≈$24,427 if multi-year registration"
Canada,NS,Saint Mary's University,Master of Applied Economics,12,Economics,24700,Yes,36,PGWP,https://www.smu.ca/academics/graduate-tuition-fees.html,2025/26 Grad Program Fee Schedule PDF
Canada,NS,Acadia University,MA (1-year residency programs),12,Business,25445,Yes,36,PGWP,https://www2.acadiau.ca/student-services/student-accounts/tuition-fees/full-time-student-fees.html,"Tuition residency $25,444.76 + ~$2.2k mandatory fees typical"
Canada,NS,Acadia University,MSc Geomatics (1-year residency),12,Business,25445,Yes,36,PGWP,https://www2.acadiau.ca/student-services/student-accounts/tuition-fees/full-time-student-fees.html,Same 1-year intl residency band as MA
Canada,NS,Acadia University,MSc Biology (1-year residency option),12,Business,25445,Yes,36,PGWP,https://www2.acadiau.ca/student-services/student-accounts/tuition-fees/full-time-student-fees.html,Department approval for 1-yr; fees same residency band
Canada,NS,Acadia University,MSc Chemistry (1-year residency option),12,Business,25445,Yes,36,PGWP,https://www2.acadiau.ca/student-services/student-accounts/tuition-fees/full-time-student-fees.html,Department approval for 1-yr
Canada,NS,Acadia University,MSc Psychology (1-year residency option),12,Business,25445,Yes,36,PGWP,https://www2.acadiau.ca/student-services/student-accounts/tuition-fees/full-time-student-fees.html,Department approval for 1-yr
Canada,NB,UNB Fredericton,MA Economics – Course-Based Stream,12,Economics,26495,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,MA (Arts course-based streams),12,Business,26495,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,MAHSR – Applied Health Services Research,12,Business,26495,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,"MEd (course-based, 10 courses in 12 mo)",12,Business,26495,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,Master of Environmental Management (course-based),12,Management,26530,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,Master of Nursing (course-based),12,Business,26530,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,Master of Forestry / Forestry Engineering (course-based),12,Business,26584,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,MCSC – Master of Computer Science (coursework),12,Business,26600,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,MEng (course-based),12,Business,26620,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NS,Dalhousie University,MSW (BSW entry),12,Business,26848.86,Yes,36,PGWP,https://www.dal.ca/faculty/gradstudies/finance-your-studies/tuition-fees.html,"MMgmt uses published intl programme TOTAL; others: domestic 3-term TOTAL + intl surcharge, scaled ×4/3 if 16 mo"
Canada,ON,Laurentian University,MSc Science Communication,12,Business,27200,Yes,36,PGWP,https://laurentian.ca/academics/fees-financing/international,Approximate intl program total from Laurentian intl fee pages; confirm in calculator before applying
Canada,NS,Dalhousie University,Master of Marine Management (MMM),16,Management,27251.81,Yes,36,PGWP,https://www.dal.ca/faculty/gradstudies/finance-your-studies/tuition-fees.html,"MMgmt uses published intl programme TOTAL; others: domestic 3-term TOTAL + intl surcharge, scaled ×4/3 if 16 mo"
Canada,NB,UNB Fredericton,MTME – Master of Technology Management & Entrepreneurship,12,Management,27477,Yes,36,PGWP,https://www.unb.ca/fredericton/engineering/depts/tme/mtme/,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NB,UNB Fredericton,MABA – Applied Behaviour Analysis,12,Business,27670,Yes,36,PGWP,https://www.unb.ca/finance/financial-services/graduate/fredericton.html,"Intl $1,866/course ×10 + term mandatory fees (2026-27 course-based PDFs); slight rounding by program"
Canada,NS,Dalhousie University,Master of Applied Computer Science (MACSc),16,Business,28909.15,Yes,36,PGWP,https://www.dal.ca/faculty/gradstudies/finance-your-studies/tuition-fees.html,"MMgmt uses published intl programme TOTAL; others: domestic 3-term TOTAL + intl surcharge, scaled ×4/3 if 16 mo"
Canada,NS,Dalhousie University,MSc Business,16,Management,28909.15,Yes,36,PGWP,https://www.dal.ca/faculty/gradstudies/finance-your-studies/tuition-fees.html,"MMgmt uses published intl programme TOTAL; others: domestic 3-term TOTAL + intl surcharge, scaled ×4/3 if 16 mo"
Canada,NS,Dalhousie University,MSc Computational Biology & Bioinformatics,16,Business,28909.15,Yes,36,PGWP,https://www.dal.ca/faculty/gradstudies/finance-your-studies/tuition-fees.html,"MMgmt uses published intl programme TOTAL; others: domestic 3-term TOTAL + intl surcharge, scaled ×4/3 if 16 mo"
Canada,NS,Dalhousie University,MSc Food Science,16,Business,28909.15,Yes,36,PGWP,https://www.dal.ca/faculty/gradstudies/finance-your-studies/tuition-fees.html,"MMgmt uses published intl programme TOTAL; others: domestic 3-term TOTAL + intl surcharge, scaled ×4/3 if 16 mo"
Canada,NL,Memorial University (MUN),Master of Applied Statistics,12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA Anthropology (course-based/non-thesis),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA Economics (course-based),12,Economics,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA English (course-based),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA Environmental Policy (course-based),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA Political Science (course-based),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA Religious Studies (course-based) [admissions paused],12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA Sociology (course-based),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA German [paused],12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA History (course-based),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MA Philosophy (course-based),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MEd Educational Technology (UCCB advanced standing only),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),Master of Environmental Science (course-based),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MSc Mathematics (course-based/non-thesis),12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),MSc Applied Geomatics,12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,NL,Memorial University (MUN),Master of Applied Literary Arts,12,Business,28980,Yes,36,PGWP,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,Plan C one-year master's; intl = 3×(tuition+continuance+8.15% fee) per official table
Canada,ON,Lakehead University,MSc Management (if intake open),12,Management,29833,Borderline,36,PGWP,https://www.lakeheadu.ca/students/finances/student-fees/fees/graduate-fees/2025-2026/node/297219,"3×$9,944.27/term intl; intl admissions often limited"
France,Auvergne-Rhône-Alpes,Université Grenoble Alpes (Grenoble IAE),Master in Applied Corporate Management (M2),12,Management,5948,Yes,12,APS / Carte recherche d'emploi,https://formations.univ-grenoble-alpes.fr/en/catalog-2021/master-s-degree-XB/master-in-corporate-management-and-administration-IDIV4XI5/applied-corporate-management-2nd-year-IVWK81ZG.html,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Direct entry M2; 100% English; non-business backgrounds targeted; 4-year degree required for non-Europeans."
France,Île-de-France,Université Paris-Saclay,Master of Economics (MoE),24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,http://www.universite-paris-saclay.fr/en/education/masters-degree/economics/m1-economics,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Provence-Alpes-Côte d'Azur,Aix-Marseille University (AMSE),Master in Economics,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.amse-aixmarseille.fr/en/study/master-economics,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Provence-Alpes-Côte d'Azur,Aix-Marseille University (AMSE),Master in Econometrics & Statistics,24,Analytics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.amse-aixmarseille.fr/en/study/master-econometrics-statistics,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Auvergne-Rhône-Alpes,Université Grenoble Alpes (Grenoble IAE),Master in Corporate Management — International Manager track,24,Management,11895,Yes,12,APS / Carte recherche d'emploi,https://formations.univ-grenoble-alpes.fr/en/catalog-2021/master-s-degree-XB/master-in-corporate-management-and-administration-IDIV4XI5.html,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Nouvelle-Aquitaine,Université de Bordeaux,Master in Economics (international/Erasmus track),24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.u-bordeaux.fr/formation/2016/PRME1U7,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Grand Est,Université de Strasbourg,Master in Economics,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.unistra.fr/formation/continuer-ses-etudes/masters-mention-economie,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Île-de-France,Sorbonne Université,Master in Economics and Public Policy (English courses),24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.sorbonne-universite.fr/en/education-science/masters-degree-economics,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Île-de-France,Université Paris 1 Panthéon-Sorbonne,Master in Economics (international pathway),24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://formations.pantheonsorbonne.fr/fr/catalogue-des-formations/master-XB/master-economie-KBUTP3I2.html,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Hauts-de-France,Université de Lille,Master in Economics — international track,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.univ-lille.fr/formation/catalogue-des-formations/master-economie,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Pays de la Loire,Université de Nantes,Master in Economics,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://sciences-eco.univ-nantes.fr/formations/masters/master-economie,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Provence-Alpes-Côte d'Azur,Université Côte d'Azur,Master in Economics and Management,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://univ-cotedazur.fr/formation/offre-de-formation/master-economie-gestion,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Occitanie,Université de Montpellier,Master in Economic Sciences,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.umontpellier.fr/formation/catalogue-de-formation/master-sciences-economiques,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Bretagne,Université de Rennes,Master in Economics,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://economie-finance.univ-rennes.fr/formations/master-economie,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Occitanie,Université Toulouse Capitole,Master in International Management (English track),24,Management,11895,Yes,12,APS / Carte recherche d'emploi,https://www.ut-capitole.fr/formation/catalogue-des-formations/master-management-international,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Île-de-France,Université Paris Cité,Master in Economics,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://u-paris.fr/formation/master-economie/,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Île-de-France,Université Paris Dauphine — PSL,Master in Quantitative Economics (M1),24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://dauphine.psl.eu/en/training/masters-degrees/quantitative-economics/m1/admissions,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Normandie,Université de Rouen Normandie,Master in Economics (English-friendly),24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.univ-rouen.fr/formation/master-economie,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Centre-Val de Loire,Université d'Orléans,Master in Economics and Finance,24,Economics,11895,Yes,12,APS / Carte recherche d'emploi,https://www.univ-orleans.fr/fr/formation/offre-de-formation/master-economie-finance,"English or bilingual track; 2-year national Master (M1+M2). Non-EU differentiated registration €3,941/yr + CVEC €105/yr (2025–26); embassy/university fee-exemption quotas may apply. Indian 4-year BBA: via Études en France/Campus France; check faculty prerequisites. Verify English share on programme page; some tracks M2 English-only."
France,Occitanie,Toulouse School of Economics (TSE),"Master in Economics — International track, Econometrics and Empirical Economics (EEE)",24,Economics,17225,Yes,12,APS / Carte recherche d'emploi,https://www.tse-fr.eu/admissions,"100% English international track; €5,500/yr training fee + €254 national registration + CVEC (2025–26); strong maths required; fee waivers may cover training portion only."
France,Occitanie,Toulouse School of Economics (TSE),"Master in Economics — International track, Economics of Markets and Organizations (EMO)",24,Economics,17225,Yes,12,APS / Carte recherche d'emploi,https://www.tse-fr.eu/admissions,"100% English international track; €5,500/yr training fee + €254 national registration + CVEC (2025–26); strong maths required; fee waivers may cover training portion only."
France,Occitanie,Toulouse School of Economics (TSE),"Master in Economics — International track, Public Policy and Development (PPD)",24,Economics,17225,Yes,12,APS / Carte recherche d'emploi,https://www.tse-fr.eu/admissions,"100% English international track; €5,500/yr training fee + €254 national registration + CVEC (2025–26); strong maths required; fee waivers may cover training portion only."
France,Occitanie,Toulouse School of Economics (TSE),"Master in Economics — International track, Environmental and Natural Resources Economics (ERNA)",24,Economics,17225,Yes,12,APS / Carte recherche d'emploi,https://www.tse-fr.eu/admissions,"100% English international track; €5,500/yr training fee + €254 national registration + CVEC (2025–26); strong maths required; fee waivers may cover training portion only."
France,Occitanie,Toulouse School of Economics (TSE),"Master in Economics — International track, Data Science for Social Sciences (D3S)",24,Analytics,17225,Yes,12,APS / Carte recherche d'emploi,https://www.tse-fr.eu/admissions,"100% English international track; €5,500/yr training fee + €254 national registration + CVEC (2025–26); strong maths required; fee waivers may cover training portion only."
France,Nouvelle-Aquitaine,Excelia Business School,MSc Digital Marketing & Business Intelligence,12,Business,24328,Yes,12,APS / Carte recherche d'emploi,https://www.excelia-group.com/student-services/international-students/apply/cost-studying,"English-taught CGE-labelled MSc (~12 months). Indian 4-year bachelor typically eligible; IELTS/TOEFL required. Gross published tuition before scholarships. Non-EU 1-year MSc €16,200 + €350 multiservice fee."
France,Nouvelle-Aquitaine,Excelia Business School,MSc Marketing & Sales Management,12,Business,24328,Yes,12,APS / Carte recherche d'emploi,https://www.excelia-group.com/student-services/international-students/apply/cost-studying,"English-taught CGE-labelled MSc (~12 months). Indian 4-year bachelor typically eligible; IELTS/TOEFL required. Gross published tuition before scholarships. Non-EU 1-year MSc €16,200 + €350 multiservice fee."
France,Occitanie,Montpellier Business School (MBS),MSc in International Business,12,Business,24843,Yes,12,APS / Carte recherche d'emploi,https://www.mbs-education.com/international/our-programmes/programmes-master-of-science/msc-admission-process/,"English-taught CGE-labelled MSc (~12 months). Indian 4-year bachelor typically eligible; IELTS/TOEFL required. Gross published tuition before scholarships. 1-year MSc (Bac+4); €16,900 tuition published for 1-year track; application fee €90 separate."
France,Occitanie,Montpellier Business School (MBS),MSc in Digital Marketing & Omnichannel Strategy,12,Business,24843,Yes,12,APS / Carte recherche d'emploi,https://www.mbs-education.com/international/our-programmes/programmes-master-of-science/msc-admission-process/,"English-taught CGE-labelled MSc (~12 months). Indian 4-year bachelor typically eligible; IELTS/TOEFL required. Gross published tuition before scholarships. 1-year MSc (Bac+4); €16,900 tuition published for 1-year track; application fee €90 separate."
France,Occitanie,Montpellier Business School (MBS),MSc in Big Data & Artificial Intelligence for Business,12,Analytics,24843,Yes,12,APS / Carte recherche d'emploi,https://www.mbs-education.com/international/our-programmes/programmes-master-of-science/msc-admission-process/,"English-taught CGE-labelled MSc (~12 months). Indian 4-year bachelor typically eligible; IELTS/TOEFL required. Gross published tuition before scholarships. 1-year MSc (Bac+4); €16,900 tuition published for 1-year track; application fee €90 separate."
