Country,Region_Province,Institution,Program,Duration_months,Field_relevance,Intl_tuition_local_currency,Intl_tuition_CAD_verified,Budget_tier,Poststudy_work_months,Poststudy_pathway_name,Fee_basis,Verified_source_URL,Immigration_source_URL,Last_verified,Notes
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Business Sciences,24,Business,9000,13230,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/secretaria/en/students-outside-the-international-european-union-2026-2027-2/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €9.000 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical. Programme page URL varies; euro total verified on ISEG 2026/27 international fee table.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Management Information Systems,24,Analytics,7900,11613,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/management-information-systems/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €7.900 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Management (MiM),24,Management,11000,16170,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/management/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €11.000 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Marketing,24,Business,9750,14332,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/secretaria/en/students-outside-the-international-european-union-2026-2027-2/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €9.750 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical. Programme page URL varies; euro total verified on ISEG 2026/27 international fee table.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Human Resources Management,24,Management,9800,14406,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/secretaria/en/students-outside-the-international-european-union-2026-2027-2/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €9.800 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical. Programme page URL varies; euro total verified on ISEG 2026/27 international fee table.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Accounting,24,Business,9850,14480,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/accounting/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €9.850 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),"Master in Accounting, Taxation and Corporate Finance",24,Business,9850,14480,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/secretaria/en/students-outside-the-international-european-union-2026-2027-2/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €9.850 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical. Programme page URL varies; euro total verified on ISEG 2026/27 international fee table.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Data Analytics for Business,24,Analytics,9850,14480,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/data-analytics-for-business/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €9.850 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),"Master in Industrial Management, Operations and Sustainability",24,Management,9850,14480,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/industrial-management-operations-and-sustainability/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €9.850 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Lisbon,ISEG — Lisbon School of Economics and Management (Universidade de Lisboa),Master in Finance,24,Business,11900,17493,Yes,12,Article 122 (alínea p),program_total,https://www.iseg.ulisboa.pt/en/study/masters/finance/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU international student statute; total tuition €11.900 (2026/27 ISEG fee table). 2nd-cycle (120 ECTS) master’s; mandatory courses taught in English on international intakes; Indian 4-year bachelor typically accepted via ULisboa international contest; IELTS ~6.0+ typical.
Portugal,Porto,University of Porto — School of Economics and Management (FEP),Master in Management,24,Management,10000,14700,Yes,12,Article 122 (alínea p),program_total,https://programmes.fep.up.pt/masters/management/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"International (non-EU) tuition €5,000/academic year × 2 years = €10,000 total (FEP 2026/27 English masters call). Fully English-taught except Economics (Portuguese programme with English track per FEP). 120 ECTS; Indian bachelor typically accepted."
Portugal,Porto,University of Porto — School of Economics and Management (FEP),Master in Finance,24,Business,10000,14700,Yes,12,Article 122 (alínea p),program_total,https://programmes.fep.up.pt/masters/finance/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"International (non-EU) tuition €5,000/academic year × 2 years = €10,000 total (FEP 2026/27 English masters call). Fully English-taught except Economics (Portuguese programme with English track per FEP). 120 ECTS; Indian bachelor typically accepted."
Portugal,Porto,University of Porto — School of Economics and Management (FEP),Master in Economics of Business and Strategy,24,Economics,10000,14700,Yes,12,Article 122 (alínea p),program_total,https://programmes.fep.up.pt/masters/economics-of-business-and-strategy/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"International (non-EU) tuition €5,000/academic year × 2 years = €10,000 total (FEP 2026/27 English masters call). Fully English-taught except Economics (Portuguese programme with English track per FEP). 120 ECTS; Indian bachelor typically accepted."
Portugal,Porto,University of Porto — School of Economics and Management (FEP),Master in Data Analytics,24,Analytics,10000,14700,Yes,12,Article 122 (alínea p),program_total,https://programmes.fep.up.pt/masters/data-analytics/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"International (non-EU) tuition €5,000/academic year × 2 years = €10,000 total (FEP 2026/27 English masters call). Fully English-taught except Economics (Portuguese programme with English track per FEP). 120 ECTS; Indian bachelor typically accepted."
Portugal,Porto,University of Porto — School of Economics and Management (FEP),Master in Economics,24,Economics,10000,14700,Yes,12,Article 122 (alínea p),program_total,https://programmes.fep.up.pt/masters/economics/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"International (non-EU) tuition €5,000/academic year × 2 years = €10,000 total (FEP 2026/27 English masters call). Portuguese programme with English track; confirm English course path before applying. 120 ECTS; Indian bachelor typically accepted."
Portugal,Braga,University of Minho — School of Economics and Management (EEG),Master in Economics,24,Economics,9000,13230,Yes,12,Article 122 (alínea p),program_total,https://www.eeg.uminho.pt/en/study/mestrados/Pages/economics.aspx,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU (non-CPLP) total programme fee €9,000 (EEG 2025/26 page). Entirely taught in English. 120 ECTS."
Portugal,Braga,University of Minho — School of Economics and Management (EEG),Master in Finance,24,Business,9000,13230,Yes,12,Article 122 (alínea p),program_total,https://www.eeg.uminho.pt/en/study/mestrados/Pages/finance.aspx,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU (non-CPLP) total programme fee €9,000 (EEG 2025/26 page). Entirely taught in English. 120 ECTS."
Portugal,Braga,University of Minho — School of Economics and Management (EEG),Master in Business and Management (English class),24,Management,9000,13230,Yes,12,Article 122 (alínea p),program_total,https://www.eeg.uminho.pt/en/study/mestrados/Pages/business-and-management.aspx,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU (non-CPLP) total programme fee €9,000 (EEG 2025/26 page). English-language class; parallel Portuguese class also offered. 120 ECTS."
Portugal,Lisbon,Iscte Business School (Iscte — Instituto Universitário de Lisboa),MSc in Management,18,Management,9800,14406,Yes,12,Article 122 (alínea p),program_total,https://ibs.iscte-iul.pt/course/35/master-msc-in-management,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU tuition €9,800 programme total (€7,000 year 1 + €2,800 year 2 on IBS course page). English-taught class available (parallel Portuguese class)."
Portugal,Lisbon,Iscte Business School (Iscte — Instituto Universitário de Lisboa),MSc in International Management,12,Management,9800,14406,Yes,12,Article 122 (alínea p),program_total,https://ibs.iscte-iul.pt/course/21/master-msc-in-international-management,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU tuition €9,800 programme total (€7,000 year 1 + €2,800 year 2 on IBS course page). Taught entirely in English; intensive ~1-year taught phase plus dissertation."
Portugal,Lisbon,Iscte Business School (Iscte — Instituto Universitário de Lisboa),MSc in Marketing,18,Business,9800,14406,Yes,12,Article 122 (alínea p),program_total,https://ibs.iscte-iul.pt/course/2063/master-degree-in-marketing,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU tuition €9,800 programme total (€7,000 year 1 + €2,800 year 2 on IBS course page). Lectured in English; 96 ECTS."
Portugal,Lisbon,Iscte Business School (Iscte — Instituto Universitário de Lisboa),MSc in Finance,24,Business,9800,14406,Yes,12,Article 122 (alínea p),program_total,https://ibs.iscte-iul.pt/course/31/master-msc-in-finance,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU tuition €9,800 programme total (€7,000 year 1 + €2,800 year 2 on IBS course page). Full-time English; 120 ECTS."
Portugal,Lisbon,Iscte Business School (Iscte — Instituto Universitário de Lisboa),MSc in Economics,24,Economics,9800,14406,Yes,12,Article 122 (alínea p),program_total,https://ibs.iscte-iul.pt/course/51/master-msc-in-economics,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU tuition €9,800 programme total (€7,000 year 1 + €2,800 year 2 on IBS course page). Evening classes; lectured in English."
Portugal,Lisbon,Iscte Business School (Iscte — Instituto Universitário de Lisboa),MSc in Business Economics and Competition,24,Economics,9800,14406,Yes,12,Article 122 (alínea p),program_total,https://ibs.iscte-iul.pt/course/69/master-msc-in-business-economics-and-competition,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU tuition €9,800 programme total (€7,000 year 1 + €2,800 year 2 on IBS course page). Evening programme; English."
Portugal,Lisbon,Iscte Business School (Iscte — Instituto Universitário de Lisboa),MSc in Business Administration,24,Management,9800,14406,Yes,12,Article 122 (alínea p),program_total,https://ibs.iscte-iul.pt/course/39/master-msc-in-business-administration,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,"Non-EU tuition €9,800 programme total (€7,000 year 1 + €2,800 year 2 on IBS course page). For non-management bachelor backgrounds; English cohort available."
Portugal,Lisbon,Nova School of Business and Economics (Universidade Nova de Lisboa),Master in Management (regular track),18,Management,13249,19476,Yes,12,Article 122 (alínea p),program_total,https://www.novasbe.unl.pt/en/programs/masters/management/fees,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU/EEA total tuition €13.249 per Nova SBE 2026/27 fee table (includes listed €249 scholarship-fund donation line). English-taught; 1.5-year regular track; CEMS/double-degree tracks cost more — excluded.
Portugal,Lisbon,Nova School of Business and Economics (Universidade Nova de Lisboa),Master in Economics (regular track),18,Economics,13249,19476,Yes,12,Article 122 (alínea p),program_total,https://www.novasbe.unl.pt/en/programs/masters/economics/fees,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU/EEA total tuition €13.249 per Nova SBE 2026/27 fee table (includes listed €249 scholarship-fund donation line). English-taught; 1.5-year regular track; CEMS/double-degree tracks cost more — excluded.
Portugal,Lisbon,Nova School of Business and Economics (Universidade Nova de Lisboa),Master in Finance (regular track),18,Business,14699,21608,Yes,12,Article 122 (alínea p),program_total,https://www.novasbe.unl.pt/en/programs/masters/finance/fees,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU/EEA total tuition €14.699 per Nova SBE 2026/27 fee table (includes listed €249 scholarship-fund donation line). English-taught; 1.5-year regular track; CEMS/double-degree tracks cost more — excluded.
Portugal,Lisbon,Nova School of Business and Economics (Universidade Nova de Lisboa),International Master's in Management (regular track),18,Management,13249,19476,Yes,12,Article 122 (alínea p),program_total,https://www.novasbe.unl.pt/en/programs/masters/international-masters-in-management/fees,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,Non-EU/EEA total tuition €13.249 per Nova SBE 2026/27 fee table (includes listed €249 scholarship-fund donation line). English-taught; 1.5-year regular track; CEMS/double-degree tracks cost more — excluded.
Portugal,Coimbra,University of Coimbra — Faculty of Economics (FEUC),Master's in Economics,18,Economics,10500,15435,Yes,12,Article 122 (alínea p),program_total,https://www.uc.pt/en/feuc/eea/masters-degree-courses/economics/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,International student €7.000/academic year; programme total €10.500 for stated duration. 90 ECTS; PT/EN.
Portugal,Coimbra,University of Coimbra — Faculty of Economics (FEUC),Master's in Management,24,Management,14000,20580,Yes,12,Article 122 (alínea p),program_total,https://www.uc.pt/en/feuc/eea/masters-degree-courses/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,International student €7.000/academic year; programme total €14.000 for stated duration. 120 ECTS; Portuguese and English (PT | EN on UC pages).
Portugal,Coimbra,University of Coimbra — Faculty of Economics (FEUC),Master's in Marketing,24,Business,14000,20580,Yes,12,Article 122 (alínea p),program_total,https://www.uc.pt/en/feuc/eea/masters-degree-courses/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,International student €7.000/academic year; programme total €14.000 for stated duration. 120 ECTS; Portuguese and English.
Portugal,Coimbra,University of Coimbra — Faculty of Economics (FEUC),Master's in Accounting and Finance,24,Business,14000,20580,Yes,12,Article 122 (alínea p),program_total,https://www.uc.pt/en/feuc/eea/masters-degree-courses/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,International student €7.000/academic year; programme total €14.000 for stated duration. 120 ECTS; confirm English availability of electives.
Portugal,Coimbra,University of Coimbra — Faculty of Economics (FEUC),Master's in Quantitative Methods in Finance,18,Analytics,10500,15435,Yes,12,Article 122 (alínea p),program_total,https://www.uc.pt/en/feuc/eea/masters-degree-courses/,https://aima.gov.pt/pt/trabalhar/tendo-beneficiado-de-ar-para-estudantes-do-2-o-ou-3-o-ciclos-do-ensino-superior-ou-de-ar-para-investigacao-e-concluido-os-estudo,2026-07-23,International student €7.000/academic year; programme total €10.500 for stated duration. 90 ECTS; €7.000/year international per FEUC brochure.
